Réseau;Station;Trafic;Correspondance_1;stop_name;coord;stop_lat;stop_lon
Métro;COLONEL FABIEN;4706560;2;COLONEL FABIEN;48.7886761363, 2.37466096904;48.788676136286725;2.3746609690403804
Métro;COLONEL FABIEN;4706560;2;COLONEL FABIEN;48.7885049435, 2.37598026336;48.78850494351641;2.3759802633642253
Métro;COLONEL FABIEN;4706560;2;COLONEL FABIEN;48.9556811773, 2.44437716037;48.95568117726325;2.4443771603692106
Métro;COLONEL FABIEN;4706560;2;COLONEL FABIEN;48.9561028508, 2.44515587189;48.95610285084341;2.4451558718862723
Métro;COLONEL FABIEN;4706560;2;COLONEL FABIEN;48.9556811773, 2.44437716037;48.95568117726325;2.4443771603692106
Métro;COLONEL FABIEN;4706560;2;COLONEL FABIEN;48.9131465742, 2.5062738627;48.913146574234354;2.5062738627029915
Métro;COLONEL FABIEN;4706560;2;COLONEL FABIEN;48.7881995126, 2.37549035771;48.78819951255128;2.3754903577138555
Métro;COLONEL FABIEN;4706560;2;COLONEL FABIEN;48.8120908164, 2.2805483798;48.81209081636463;2.280548379801124
Métro;COLONEL FABIEN;4706560;2;COLONEL FABIEN;48.8115157423, 2.28084839002;48.811515742348966;2.2808483900184924
Métro;COLONEL FABIEN;4706560;2;COLONEL FABIEN;48.7882623754, 2.37565363016;48.7882623754361;2.375653630158941
Métro;COLONEL FABIEN;4706560;2;COLONEL FABIEN;48.7881995126, 2.37549035771;48.78819951255128;2.3754903577138555
Métro;COLONEL FABIEN;4706560;2;COLONEL FABIEN;48.9131465742, 2.5062738627;48.913146574234354;2.5062738627029915
Métro;COLONEL FABIEN;4706560;2;COLONEL FABIEN;48.9132916383, 2.50537442358;48.913291638269826;2.5053744235784774
Métro;COLONEL FABIEN;4706560;2;COLONEL FABIEN;48.9131465742, 2.5062738627;48.913146574234354;2.5062738627029915
Métro;COLONEL FABIEN;4706560;2;COLONEL FABIEN;48.9132916383, 2.50537442358;48.913291638269826;2.5053744235784774
Métro;COLONEL FABIEN;4706560;2;COLONEL FABIEN;48.9131465742, 2.5062738627;48.913146574234354;2.5062738627029915
Métro;COLONEL FABIEN;4706560;2;COLONEL FABIEN;48.9132916383, 2.50537442358;48.913291638269826;2.5053744235784774
Métro;COLONEL FABIEN;4706560;2;COLONEL FABIEN;48.7886761363, 2.37466096904;48.788676136286725;2.3746609690403804
Métro;COLONEL FABIEN;4706560;2;COLONEL FABIEN;48.7885049435, 2.37598026336;48.78850494351641;2.3759802633642253
Métro;COLONEL FABIEN;4706560;2;COLONEL FABIEN;48.9561028508, 2.44515587189;48.95610285084341;2.4451558718862723
Métro;COLONEL FABIEN;4706560;2;COLONEL FABIEN;48.7886761363, 2.37466096904;48.788676136286725;2.3746609690403804
Métro;COLONEL FABIEN;4706560;2;COLONEL FABIEN;48.7885049435, 2.37598026336;48.78850494351641;2.3759802633642253
Métro;COLONEL FABIEN;4706560;2;COLONEL FABIEN;48.7886761363, 2.37466096904;48.788676136286725;2.3746609690403804
Métro;PORTE DE VANVES;4619691;13;PORTE DE VANVES;48.8275139325, 2.30526538308;48.827513932461954;2.3052653830764256
Métro;PORTE DE VANVES;4619691;13;PORTE DE VANVES;48.8262824474, 2.30461275919;48.82628244737996;2.3046127591896393
Métro;PORTE DE VANVES;4619691;13;PORTE DE VANVES;48.8272715714, 2.30642258681;48.82727157135489;2.306422586810065
Métro;PORTE DE VANVES;4619691;13;PORTE DE VANVES;48.8267408845, 2.30485749162;48.82674088447929;2.3048574916214104
Métro;PORTE DE VANVES;4619691;13;PORTE DE VANVES;48.8269116387, 2.3048165481;48.826911638673174;2.304816548100129
